Region,City,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Payment Mode,Year,Month,Sales_log
North,Delhi,Beauty,Face Cream,5,5964,20,23856.0,UPI,2023,11,10.079832954301699
South,Bangalore,Electronics,Mobile,2,74137,10,133446.6,Debit Card,2024,9,11.801464170407183
South,Bangalore,Clothing,Shoes,2,22106,0,44212.0,Debit Card,2024,10,10.696774142468731
East,Patna,Home Decor,Cushion,4,25479,20,81532.8,Credit Card,2024,3,11.308772937181136
South,Coimbatore,Furniture,Sofa,3,32223,5,91835.55,Debit Card,2025,1,11.427765645516788
South,Bangalore,Toys,Action Figure,4,56442,15,191902.8,UPI,2024,4,12.164749483779932
South,Hyderabad,Sports,Football,3,64252,10,173480.4,Debit Card,2024,2,12.063825668011274
South,Coimbatore,Groceries,Spices,3,23606,15,60195.3,UPI,2025,9,11.005366167614039
West,Surat,Kitchen,Juicer,4,25373,20,81193.6,Net Banking,2023,11,11.304604021475328
South,Hyderabad,Home Decor,Cushion,3,77524,10,209314.8,UPI,2024,7,12.251599395312548
North,Chandigarh,Kitchen,Refrigerator,5,42801,5,203304.75,Debit Card,2023,12,12.222466282541607
North,Jaipur,Clothing,Kids Wear,5,45661,0,228305.0,Debit Card,2024,10,12.338442113381477
South,Hyderabad,Clothing,Shoes,4,2984,0,11936.0,Net Banking,2025,6,9.387398099095039
South,Hyderabad,Furniture,Cabinet,3,43812,15,111720.6,UPI,2023,10,11.623765341474643
East,Patna,Toys,Board Game,2,12348,5,23461.2,UPI,2025,4,10.063145894451804
West,Goa,Beauty,Perfume,1,60771,5,57732.45,Debit Card,2025,4,10.96359200722554
West,Surat,Books,Non-Fiction,2,16930,10,30474.0,Net Banking,2024,3,10.324661954349473
North,Chandigarh,Home Decor,Lamp,1,51604,10,46443.6,COD,2023,11,10.746015483447362
West,Pune,Kitchen,Juicer,1,19755,15,16791.75,UPI,2025,7,9.728702524628831
West,Pune,Toys,Action Figure,3,4379,10,11823.3,COD,2023,12,9.377912014990608
North,Chandigarh,Beauty,Perfume,5,8354,10,37593.0,Net Banking,2025,1,10.53459974217654
North,Lucknow,Beauty,Perfume,5,12720,10,57240.0,UPI,2025,7,10.955025703818272
West,Goa,Sports,Football,3,59034,15,150536.7,Net Banking,2024,10,11.921968830140468
South,Hyderabad,Sports,Cricket Bat,3,28393,5,80920.05,Credit Card,2024,1,11.301229266976044
West,Surat,Books,Comics,3,34251,15,87340.05,COD,2025,5,11.377575848950343
North,Lucknow,Home Decor,Vase,2,22548,0,45096.0,Credit Card,2025,5,10.716571004431286
East,Guwahati,Toys,RC Car,1,17031,20,13624.8,Net Banking,2025,7,9.519720333404083
North,Lucknow,Furniture,Bed,4,43796,10,157665.6,COD,2024,4,11.96823795597289
North,Delhi,Beauty,Shampoo,4,2442,5,9279.6,Debit Card,2024,1,9.135681478862605
North,Chandigarh,Sports,Cricket Bat,4,10644,0,42576.0,COD,2025,3,10.659069480352393
East,Kolkata,Clothing,Men's Wear,1,77527,0,77527.0,Credit Card,2025,4,11.258394440414387
North,Lucknow,Beauty,Shampoo,4,36963,5,140459.4,COD,2024,8,11.852680877494803
North,Delhi,Beauty,Shampoo,1,51106,15,43440.1,Credit Card,2025,5,10.679161276570824
North,Chandigarh,Toys,Doll,3,74020,20,177648.0,COD,2024,9,12.087564972387453
South,Chennai,Kitchen,Cookware Set,2,23153,20,37044.8,Debit Card,2024,9,10.519910263974579
North,Amritsar,Toys,RC Car,5,56737,10,255316.5,Debit Card,2024,12,12.450263147688027
West,Surat,Clothing,Women's Wear,5,39339,10,177025.5,Debit Card,2023,10,12.084054717863541
East,Ranchi,Kitchen,Juicer,3,39848,5,113566.8,Debit Card,2024,3,11.640155294385218
South,Chennai,Books,Comics,3,76533,20,183679.2,Credit Card,2024,10,12.12095148096292
West,Goa,Home Decor,Clock,1,71876,10,64688.4,UPI,2024,1,11.077352633991154
North,Lucknow,Toys,RC Car,3,63739,0,191217.0,COD,2023,11,12.161169417427748
East,Bhubaneswar,Clothing,Shoes,3,48469,0,145407.0,Debit Card,2025,2,11.887298863200714
West,Mumbai,Home Decor,Wall Art,2,30411,5,57780.9,Debit Card,2024,7,10.964430856830221
South,Chennai,Kitchen,Juicer,4,29873,15,101568.2,Net Banking,2024,12,11.528495618561088
East,Patna,Clothing,Kids Wear,5,51128,5,242858.0,COD,2025,7,12.400236307000716
North,Chandigarh,Toys,Action Figure,5,71439,15,303615.75,COD,2024,3,12.62352149425973
North,Chandigarh,Home Decor,Vase,2,29477,20,47163.2,UPI,2023,10,10.761390409210005
South,Thiruvananthapuram,Home Decor,Vase,1,72116,20,57692.8,Net Banking,2025,4,10.962904994383086
East,Kolkata,Clothing,Shoes,5,46037,5,218675.75,COD,2024,7,12.295349890999832
North,Amritsar,Clothing,Accessories,4,72637,0,290548.0,UPI,2024,3,12.579527515748921
West,Pune,Sports,Cricket Bat,3,31598,15,80574.9,Net Banking,2024,12,11.296954876338912
East,Kolkata,Books,Fiction,2,70431,10,126775.8,Debit Card,2025,6,11.750183338945385
North,Chandigarh,Home Decor,Cushion,3,69875,20,167700.0,Debit Card,2024,5,12.02993791082274
East,Ranchi,Sports,Cricket Bat,5,20239,20,80956.0,Debit Card,2025,3,11.301673428498757
North,Chandigarh,Electronics,Mobile,1,17421,5,16549.95,UPI,2025,4,9.714198780970477
South,Coimbatore,Clothing,Women's Wear,3,9700,15,24735.0,COD,2024,1,10.116014951387148
East,Bhubaneswar,Furniture,Chair,5,69207,15,294129.75,COD,2024,3,12.591779675349837
West,Pune,Furniture,Table,5,30470,15,129497.5,Credit Card,2024,5,11.771424577043064
South,Chennai,Clothing,Women's Wear,2,66296,5,125962.4,Net Banking,2024,9,11.743746667546759
South,Thiruvananthapuram,Clothing,Men's Wear,1,74433,10,66989.7,Net Banking,2024,10,11.112309082768514
South,Coimbatore,Clothing,Accessories,4,68975,20,220720.0,Debit Card,2025,8,12.304654739507944
West,Goa,Sports,Cricket Bat,1,25464,0,25464.0,Net Banking,2024,10,10.145060239318704
South,Chennai,Books,Biography,3,14789,0,44367.0,Debit Card,2024,10,10.70027376785556
North,Delhi,Furniture,Bed,5,35352,0,176760.0,Credit Card,2025,1,12.082553816617223
North,Jaipur,Groceries,Sugar,2,61395,5,116650.5,Credit Card,2024,7,11.666946136346754
South,Coimbatore,Sports,Cricket Bat,4,54075,15,183855.0,COD,2025,4,12.121908121497414
East,Kolkata,Furniture,Table,4,70677,15,240301.8,UPI,2024,4,12.389655073758215
West,Pune,Toys,Doll,2,37627,5,71491.3,Net Banking,2024,8,11.177345030575173
North,Lucknow,Home Decor,Vase,2,79358,0,158716.0,COD,2025,3,11.974878021130392
North,Delhi,Clothing,Accessories,5,43448,15,184654.0,Debit Card,2024,3,12.12624449817026
West,Mumbai,Home Decor,Wall Art,2,72776,15,123719.2,UPI,2025,1,11.725777843351207
East,Guwahati,Furniture,Bed,4,11796,5,44824.8,Credit Card,2025,3,10.710539145497567
East,Kolkata,Books,Fiction,3,63827,5,181906.95,Debit Card,2024,1,12.111256068883764
North,Jaipur,Books,Biography,2,51134,15,86927.8,Net Banking,2025,3,11.372844671767547
North,Chandigarh,Home Decor,Clock,2,30124,5,57235.6,Debit Card,2024,5,10.954948832884533
North,Chandigarh,Electronics,Camera,4,29711,5,112901.8,Net Banking,2024,3,11.634282550538813
West,Goa,Furniture,Cabinet,5,58495,20,233980.0,UPI,2025,6,12.362995194462021
North,Amritsar,Books,Textbook,1,30997,20,24797.6,Debit Card,2024,8,10.118542478946718
East,Bhubaneswar,Home Decor,Wall Art,5,72809,10,327640.5,Net Banking,2024,12,12.699675301814638
East,Patna,Home Decor,Vase,5,15450,20,61800.0,COD,2024,2,11.031674824544641
East,Ranchi,Beauty,Perfume,5,29745,10,133852.5,Debit Card,2025,4,11.804501197280517
East,Patna,Clothing,Kids Wear,5,79880,10,359460.0,COD,2025,9,12.79236096625286
West,Surat,Books,Fiction,2,71171,0,142342.0,COD,2024,12,11.865994916927352
East,Guwahati,Electronics,Smartwatch,3,36421,0,109263.0,Net Banking,2024,2,11.60152225120087
East,Ranchi,Toys,Doll,2,59223,20,94756.8,Debit Card,2025,3,11.459079441456147
East,Guwahati,Furniture,Cabinet,4,41211,0,164844.0,UPI,2025,6,12.012760917436315
West,Ahmedabad,Sports,Yoga Mat,5,20918,5,99360.5,UPI,2024,3,11.506519993671711
South,Bangalore,Electronics,Headphones,5,44435,5,211066.25,UPI,2024,3,12.2599320820568
East,Ranchi,Beauty,Perfume,4,47036,0,188144.0,UPI,2024,12,12.144968221126884
East,Kolkata,Kitchen,Juicer,5,26338,0,131690.0,COD,2024,1,11.788213548266445
South,Bangalore,Beauty,Shampoo,5,10496,15,44608.0,Debit Card,2024,8,10.705690911372514
West,Pune,Sports,Tennis Racket,4,52397,5,199108.6,Debit Card,2025,2,12.20161070586628
South,Thiruvananthapuram,Electronics,Headphones,1,34995,15,29745.75,UPI,2025,1,10.30047516130877
South,Thiruvananthapuram,Clothing,Men's Wear,5,58541,10,263434.5,COD,2023,11,12.481563835215923
East,Bhubaneswar,Sports,Tennis Racket,2,25689,5,48809.1,COD,2024,2,10.795692537639594
North,Chandigarh,Groceries,Sugar,4,13733,15,46692.2,Net Banking,2023,10,10.75135382277641
East,Ranchi,Books,Non-Fiction,4,78511,15,266937.4,UPI,2024,9,12.494773199153881
South,Thiruvananthapuram,Sports,Tennis Racket,1,34123,20,27298.4,Net Banking,2024,11,10.214620002909554
West,Goa,Furniture,Sofa,1,6843,10,6158.7,Debit Card,2023,10,8.725783354042917
West,Surat,Home Decor,Clock,1,10908,0,10908.0,Credit Card,2024,12,9.297343415597757
North,Amritsar,Electronics,Headphones,4,27529,20,88092.8,Net Banking,2025,9,11.386157434873518
West,Mumbai,Furniture,Chair,4,62541,10,225147.6,COD,2025,7,12.324515907633547
North,Amritsar,Furniture,Bed,5,1232,5,5852.0,Debit Card,2024,4,8.67470962929122
North,Delhi,Clothing,Women's Wear,4,74726,15,254068.4,Net Banking,2025,4,12.445362737027063
North,Jaipur,Kitchen,Cookware Set,1,17341,0,17341.0,Credit Card,2024,12,9.760886583937106
North,Amritsar,Clothing,Shoes,1,43547,0,43547.0,UPI,2025,4,10.68161905700107
South,Bangalore,Sports,Cricket Bat,1,22284,15,18941.4,UPI,2024,2,9.849158074657371
West,Goa,Clothing,Kids Wear,2,51030,15,86751.0,COD,2023,10,11.370808752298393
West,Goa,Toys,Doll,3,51990,15,132574.5,Credit Card,2025,3,11.794907573448342
North,Delhi,Clothing,Accessories,5,51926,10,233667.0,UPI,2024,11,12.361656583466432
South,Bangalore,Beauty,Face Cream,1,51009,15,43357.65,COD,2024,3,10.677261500942487
West,Goa,Beauty,Shampoo,2,30788,5,58497.2,Credit Card,2025,3,10.976751263515796
East,Kolkata,Sports,Dumbbells,1,41976,20,33580.8,COD,2024,1,10.421739532530243
South,Chennai,Home Decor,Lamp,1,12879,15,10947.15,UPI,2025,7,9.300925771199337
East,Ranchi,Books,Comics,3,15591,20,37418.4,Credit Card,2025,5,10.529944565493224
East,Guwahati,Groceries,Spices,4,34766,5,132110.8,UPI,2024,1,11.791403812789042
South,Bangalore,Home Decor,Cushion,5,76737,20,306948.0,Net Banking,2025,3,12.634436888990749
North,Amritsar,Electronics,Camera,4,41374,5,157221.2,Credit Card,2024,9,11.965415370380489
South,Coimbatore,Sports,Yoga Mat,5,20898,0,104490.0,COD,2025,2,11.556856222276169
West,Goa,Furniture,Cabinet,5,24456,15,103938.0,Debit Card,2025,8,11.551559467580997
North,Chandigarh,Home Decor,Clock,1,27272,5,25908.4,Debit Card,2024,8,10.162361116205819
North,Jaipur,Kitchen,Refrigerator,4,10292,0,41168.0,UPI,2023,12,10.625440824937742
South,Hyderabad,Toys,RC Car,1,27923,20,22338.4,Net Banking,2024,6,10.014107214608087
South,Thiruvananthapuram,Furniture,Cabinet,4,42692,20,136614.4,Credit Card,2024,12,11.824924957685322
West,Mumbai,Sports,Cricket Bat,1,23775,10,21397.5,Net Banking,2025,1,9.971076105095337
East,Ranchi,Electronics,Mobile,4,44235,5,168093.0,UPI,2025,9,12.032278625719838
South,Hyderabad,Electronics,Headphones,3,20810,20,49944.0,Net Banking,2025,1,10.81867767896625
East,Ranchi,Sports,Football,5,77672,5,368942.0,Credit Card,2024,7,12.818397439545992
West,Mumbai,Beauty,Foundation,2,31668,5,60169.2,COD,2025,3,11.004932492124446
South,Thiruvananthapuram,Electronics,Smartwatch,5,27424,10,123408.0,Net Banking,2023,11,11.723259321343335
West,Surat,Kitchen,Microwave,4,2038,15,6929.2,Credit Card,2024,7,8.843643951796366
West,Surat,Sports,Cricket Bat,4,33014,10,118850.4,Debit Card,2025,8,11.68562925227302
West,Surat,Beauty,Lipstick,3,11474,20,27537.6,Credit Card,2023,12,10.223343935841621
West,Surat,Groceries,Sugar,4,33093,0,132372.0,Debit Card,2025,5,11.793378974196559
East,Bhubaneswar,Clothing,Shoes,1,10386,20,8308.8,Credit Card,2025,1,9.025190820171181
South,Hyderabad,Electronics,Laptop,3,62517,20,150040.8,Debit Card,2024,3,11.918669200924716
North,Lucknow,Home Decor,Cushion,5,77983,20,311932.0,COD,2024,11,12.650543700141169
East,Bhubaneswar,Kitchen,Refrigerator,2,1661,10,2989.8,Net Banking,2023,11,8.003296189125761
South,Thiruvananthapuram,Clothing,Shoes,4,11933,0,47732.0,Credit Card,2024,6,10.773378261575965
East,Bhubaneswar,Electronics,Mobile,2,12851,0,25702.0,Debit Card,2024,2,10.154362995588228
East,Patna,Home Decor,Clock,2,36430,20,58288.0,COD,2025,7,10.973168675291133
South,Coimbatore,Books,Biography,2,64649,10,116368.2,COD,2024,9,11.664523174454448
West,Surat,Groceries,Spices,5,30825,10,138712.5,Net Banking,2024,1,11.840165933938462
East,Guwahati,Books,Non-Fiction,3,21339,20,51213.6,Debit Card,2025,9,10.843779926628283
South,Chennai,Sports,Yoga Mat,3,18949,0,56847.0,Credit Card,2023,10,10.948136318260808
West,Mumbai,Kitchen,Cookware Set,2,47502,0,95004.0,Credit Card,2023,10,11.461684800776633
West,Mumbai,Sports,Football,2,48262,0,96524.0,Credit Card,2025,1,11.477557321132437
East,Bhubaneswar,Electronics,Smartwatch,1,78504,10,70653.6,UPI,2023,12,11.165558495688812
North,Lucknow,Toys,Puzzle,1,48498,15,41223.3,UPI,2025,4,10.626783167295766
West,Ahmedabad,Beauty,Face Cream,3,32464,15,82783.2,Debit Card,2025,5,11.32399250090862
North,Lucknow,Groceries,Wheat,5,68366,0,341830.0,Debit Card,2023,11,12.7420717418646
West,Surat,Beauty,Foundation,3,78061,10,210764.7,UPI,2024,8,12.258502368937584
West,Ahmedabad,Toys,Doll,3,52131,15,132934.05,COD,2023,11,11.797615942059553
South,Hyderabad,Groceries,Spices,2,25645,0,51290.0,COD,2024,4,10.845270577171219
North,Jaipur,Sports,Dumbbells,1,13203,15,11222.55,Debit Card,2025,3,9.325769528319976
South,Bangalore,Electronics,Laptop,2,9533,0,19066.0,Credit Card,2023,12,9.855714371064444
West,Ahmedabad,Groceries,Sugar,2,34813,10,62663.4,UPI,2025,8,11.045548782277052
North,Jaipur,Beauty,Shampoo,4,60017,10,216061.2,Debit Card,2024,1,12.28332160817589
North,Chandigarh,Books,Biography,5,14035,0,70175.0,Net Banking,2025,8,11.158761651217615
South,Hyderabad,Books,Biography,2,76063,20,121700.8,Credit Card,2024,5,11.709329069334606
North,Chandigarh,Groceries,Rice,3,30739,10,82995.3,COD,2024,11,11.32655130747184
South,Bangalore,Groceries,Rice,4,36080,0,144320.0,COD,2024,8,11.879795264319007
East,Ranchi,Clothing,Women's Wear,4,72114,15,245187.6,Net Banking,2025,3,12.409782989304322
West,Mumbai,Sports,Football,2,61185,10,110133.0,Debit Card,2024,12,11.609453085211294
East,Patna,Electronics,Mobile,1,17001,5,16150.95,COD,2024,5,9.689796064396004
West,Pune,Books,Fiction,4,18277,20,58486.4,Net Banking,2025,3,10.976566625405965
South,Thiruvananthapuram,Toys,Action Figure,1,7828,20,6262.4,COD,2023,11,8.742478447642307
South,Chennai,Groceries,Oil,3,64127,5,182761.95,COD,2025,5,12.115945236934548
West,Goa,Home Decor,Vase,3,42458,10,114636.6,Debit Card,2023,11,11.649531127181724
East,Ranchi,Toys,RC Car,5,67032,20,268128.0,Credit Card,2025,6,12.499223486968058
West,Goa,Sports,Tennis Racket,5,31994,0,159970.0,COD,2024,3,11.982747827788197
East,Guwahati,Furniture,Bed,4,71393,10,257014.8,UPI,2024,3,12.456892840586846
North,Chandigarh,Sports,Tennis Racket,5,9822,10,44199.0,UPI,2024,10,10.696480068065789
West,Ahmedabad,Books,Biography,2,34557,0,69114.0,Credit Card,2024,4,11.143527062898457
West,Surat,Home Decor,Wall Art,2,27758,20,44412.8,Net Banking,2025,6,10.701305510939454
East,Kolkata,Home Decor,Cushion,3,1394,20,3345.6,UPI,2025,9,8.115700184060474
East,Kolkata,Kitchen,Microwave,5,69789,5,331497.75,Debit Card,2025,9,12.71137931786188
South,Bangalore,Toys,Puzzle,5,51064,20,204256.0,UPI,2025,4,12.227134283860813
North,Lucknow,Books,Non-Fiction,4,67986,0,271944.0,Debit Card,2024,4,12.513355118949416
West,Goa,Home Decor,Lamp,5,29278,15,124431.5,Net Banking,2024,7,11.731518679185621
South,Hyderabad,Groceries,Spices,1,55681,10,50112.9,Credit Card,2025,1,10.82205369370196
East,Kolkata,Clothing,Shoes,4,66314,20,212204.8,COD,2023,12,12.265311837493483
West,Ahmedabad,Clothing,Women's Wear,1,51535,10,46381.5,Debit Card,2025,1,10.744677511901033
North,Lucknow,Groceries,Rice,1,24833,10,22349.7,Debit Card,2024,8,10.014612919461772
South,Chennai,Toys,Action Figure,5,1649,0,8245.0,Credit Card,2025,7,9.017483513266844
West,Surat,Toys,Puzzle,3,68087,0,204261.0,Net Banking,2024,5,12.227158762526434
South,Coimbatore,Furniture,Chair,4,48008,0,192032.0,Credit Card,2023,12,12.165422511241102
West,Pune,Toys,Board Game,5,51965,10,233842.5,Debit Card,2024,11,12.36240736717226
South,Bangalore,Clothing,Kids Wear,3,15738,10,42492.6,Debit Card,2025,7,10.657108755337667
West,Goa,Clothing,Men's Wear,1,33983,10,30584.7,Net Banking,2025,5,10.32828785845089
North,Chandigarh,Electronics,Smartwatch,1,29445,15,25028.25,COD,2024,3,10.12780041993374
South,Chennai,Groceries,Rice,2,804,5,1527.6,Debit Card,2024,9,7.332107562808783
East,Patna,Electronics,Headphones,4,10755,0,43020.0,COD,2024,4,10.669443647553885
South,Chennai,Clothing,Women's Wear,4,44820,0,179280.0,Net Banking,2025,5,12.096709686326276
West,Ahmedabad,Beauty,Lipstick,2,75061,5,142615.9,Net Banking,2024,8,11.867917293264167
East,Guwahati,Sports,Yoga Mat,1,35352,15,30049.2,Credit Card,2025,6,10.310624595515248
East,Ranchi,Groceries,Oil,5,5983,10,26923.5,Debit Card,2024,5,10.200791931750027
East,Bhubaneswar,Groceries,Oil,5,20936,15,88978.0,UPI,2024,5,11.396155665816323
West,Surat,Kitchen,Juicer,5,34524,10,155358.0,COD,2024,3,11.953493846841203
North,Amritsar,Furniture,Table,1,51339,0,51339.0,Net Banking,2025,2,10.84622545442513
North,Lucknow,Toys,Doll,1,56140,0,56140.0,COD,2024,5,10.93562166236856
South,Chennai,Furniture,Table,4,4552,0,18208.0,Credit Card,2023,10,9.809671256331843
East,Ranchi,Books,Non-Fiction,1,37533,10,33779.7,Net Banking,2023,11,10.427644912467986
North,Delhi,Sports,Tennis Racket,4,58452,10,210427.2,UPI,2025,6,12.25689978128267
East,Patna,Electronics,Laptop,5,13890,5,65977.5,COD,2024,5,11.09708421036228
North,Chandigarh,Toys,Action Figure,2,79039,10,142270.2,Credit Card,2024,9,11.86549037427612
East,Patna,Clothing,Shoes,2,62199,5,118178.1,Credit Card,2023,10,11.67995654936889
East,Patna,Furniture,Cabinet,5,47619,5,226190.25,UPI,2024,1,12.329136159334181
East,Bhubaneswar,Books,Non-Fiction,1,63925,20,51140.0,Debit Card,2025,1,10.842341802819034
East,Ranchi,Clothing,Women's Wear,4,21485,20,68752.0,Net Banking,2025,2,11.138275650940416
East,Kolkata,Groceries,Spices,1,31443,15,26726.55,UPI,2025,4,10.193450147618297
West,Goa,Beauty,Perfume,2,38547,15,65529.9,Debit Card,2025,6,11.090277066106786
North,Amritsar,Books,Non-Fiction,1,54980,15,46733.0,Net Banking,2024,7,10.752227230148003
South,Hyderabad,Electronics,Mobile,1,43437,0,43437.0,UPI,2024,8,10.679089913032266
East,Patna,Beauty,Foundation,4,6203,20,19849.6,Net Banking,2025,8,9.89598951235877
East,Ranchi,Electronics,Smartwatch,2,68153,5,129490.7,COD,2025,8,11.771372065403614
North,Amritsar,Home Decor,Lamp,1,50570,10,45513.0,COD,2024,10,10.725775249919163
South,Hyderabad,Groceries,Sugar,2,10011,20,16017.6,Credit Card,2025,8,9.681505826042008
West,Surat,Beauty,Shampoo,5,21827,5,103678.25,Net Banking,2025,1,11.54905727776364
North,Jaipur,Groceries,Sugar,2,35939,20,57502.4,Credit Card,2025,7,10.95959935547209
South,Bangalore,Clothing,Men's Wear,3,9001,10,24302.7,COD,2025,9,10.098383881112234
West,Mumbai,Groceries,Spices,4,47109,15,160170.6,COD,2024,10,11.984001019498725
South,Hyderabad,Electronics,Headphones,3,42140,0,126420.0,Net Banking,2024,12,11.747372886135805
East,Guwahati,Groceries,Wheat,2,61838,10,111308.4,Net Banking,2023,10,11.620068990121473
East,Patna,Furniture,Chair,3,64999,20,155997.6,Credit Card,2023,11,11.95760231183243
East,Ranchi,Books,Fiction,2,5842,20,9347.2,COD,2024,2,9.142939090380672
South,Chennai,Sports,Yoga Mat,5,30597,15,130037.25,UPI,2024,4,11.775583916929566
South,Hyderabad,Kitchen,Microwave,1,26063,0,26063.0,Credit Card,2025,3,10.168310330841827
East,Patna,Beauty,Perfume,2,44993,10,80987.4,Net Banking,2025,5,11.302061213522519
North,Lucknow,Home Decor,Cushion,3,30868,15,78713.4,Debit Card,2023,12,11.27358139098431
North,Chandigarh,Kitchen,Mixer Grinder,4,19920,5,75696.0,UPI,2025,5,11.234493808521355
West,Pune,Toys,Puzzle,4,36581,20,117059.2,COD,2024,6,11.670443611369295
North,Chandigarh,Electronics,Headphones,5,75521,10,339844.5,COD,2024,9,12.736246381551325
South,Bangalore,Kitchen,Microwave,5,5200,0,26000.0,Debit Card,2025,6,10.165890277802454
West,Mumbai,Kitchen,Cookware Set,5,39225,0,196125.0,COD,2025,3,12.186512588811372
East,Guwahati,Groceries,Rice,5,44351,5,210667.25,Debit Card,2024,2,12.258039900255426
East,Patna,Books,Non-Fiction,4,56165,20,179728.0,Debit Card,2024,9,12.099205439829195
South,Chennai,Groceries,Sugar,3,42486,10,114712.2,COD,2023,10,11.650190379320701
South,Bangalore,Furniture,Bed,4,24556,0,98224.0,Debit Card,2024,7,11.495016044426661
East,Patna,Sports,Yoga Mat,3,63186,5,180080.1,Debit Card,2023,11,12.101162583958226
West,Pune,Home Decor,Wall Art,5,74466,0,372330.0,COD,2025,7,12.827538522577557
South,Chennai,Books,Non-Fiction,3,37534,5,106971.9,Debit Card,2024,2,11.580330810337482
West,Pune,Kitchen,Refrigerator,4,48345,10,174042.0,COD,2023,12,12.06705767410274
North,Jaipur,Home Decor,Wall Art,5,53177,10,239296.5,Credit Card,2025,1,12.385462826704408
South,Bangalore,Sports,Dumbbells,5,6951,15,29541.75,Debit Card,2024,5,10.293593645862066
North,Delhi,Groceries,Spices,1,46409,10,41768.1,Net Banking,2023,11,10.63991211069457
South,Thiruvananthapuram,Kitchen,Mixer Grinder,3,40030,0,120090.0,Debit Card,2024,3,11.696005067708077
West,Surat,Books,Fiction,3,2899,15,7392.45,COD,2024,4,8.908349752093711
East,Ranchi,Furniture,Bed,1,54239,20,43391.2,UPI,2025,3,10.678034980433988
East,Bhubaneswar,Toys,Board Game,1,635,15,539.75,Debit Card,2024,9,6.2929570648331685
North,Lucknow,Clothing,Accessories,2,23101,5,43891.9,COD,2024,4,10.689507854776071
West,Ahmedabad,Kitchen,Juicer,1,71043,20,56834.4,Debit Card,2025,8,10.947914650012821
North,Lucknow,Electronics,Headphones,4,67753,10,243910.8,COD,2024,7,12.40456196351752
South,Coimbatore,Beauty,Face Cream,3,9574,5,27285.9,Debit Card,2024,1,10.214162012526673
West,Surat,Toys,Puzzle,5,1299,5,6170.25,COD,2023,10,8.727656689573072
East,Patna,Furniture,Bed,5,4600,20,18400.0,Debit Card,2024,7,9.820160289946374
North,Jaipur,Kitchen,Refrigerator,2,74248,20,118796.8,Net Banking,2024,11,11.685178167220693
East,Patna,Books,Non-Fiction,5,66107,5,314008.25,Debit Card,2024,5,12.65717772305522
West,Mumbai,Books,Textbook,4,1266,0,5064.0,Credit Card,2023,11,8.530109416682784
West,Ahmedabad,Toys,Board Game,2,74681,5,141893.9,Net Banking,2024,9,11.862841921698864
East,Ranchi,Clothing,Accessories,3,33457,20,80296.8,Net Banking,2025,5,11.293497502299267
South,Coimbatore,Books,Non-Fiction,1,29018,15,24665.3,Credit Card,2024,10,10.113193218542849
South,Bangalore,Sports,Yoga Mat,4,21745,0,86980.0,COD,2023,10,11.373444982981379
West,Mumbai,Sports,Tennis Racket,2,3291,15,5594.7,Credit Card,2025,3,8.62975372462709
North,Jaipur,Books,Fiction,3,67485,5,192332.25,COD,2024,8,12.16698482354647
North,Jaipur,Furniture,Cabinet,3,24934,20,59841.6,Credit Card,2024,1,10.99947306090233
North,Jaipur,Toys,Puzzle,5,3680,15,15640.0,Net Banking,2024,4,9.657650950674242
South,Thiruvananthapuram,Furniture,Cabinet,4,12783,15,43462.2,Net Banking,2024,1,10.679669882024786
North,Jaipur,Furniture,Bed,3,24986,20,59966.4,Credit Card,2024,1,11.001556360211861
South,Coimbatore,Kitchen,Mixer Grinder,3,46658,20,111979.2,Credit Card,2024,10,11.62607734893451
South,Bangalore,Books,Biography,3,63161,15,161060.55,Debit Card,2025,8,11.989541869045933
East,Guwahati,Beauty,Shampoo,1,79463,20,63570.4,Debit Card,2024,12,11.059918962654761
East,Ranchi,Groceries,Wheat,4,67376,0,269504.0,Debit Card,2025,4,12.504342222034783
West,Surat,Kitchen,Juicer,3,60530,20,145272.0,Credit Card,2023,10,11.886370009854907
East,Ranchi,Home Decor,Vase,5,33311,15,141571.75,Credit Card,2024,3,11.860568998219305
East,Guwahati,Books,Non-Fiction,1,56897,0,56897.0,Net Banking,2024,3,10.949015470111782
South,Hyderabad,Kitchen,Cookware Set,1,39541,0,39541.0,Debit Card,2024,1,10.585118677134826
East,Kolkata,Furniture,Chair,2,37656,5,71546.4,UPI,2024,9,11.17811544609933
West,Goa,Sports,Dumbbells,5,40146,10,180657.0,Credit Card,2024,11,12.10436102012335
South,Hyderabad,Furniture,Sofa,4,49649,20,158876.8,UPI,2023,12,11.97589063225463
West,Ahmedabad,Clothing,Kids Wear,3,7847,15,20009.85,Net Banking,2023,11,9.904029905436202
West,Surat,Books,Comics,2,50161,0,100322.0,COD,2024,1,11.516150259725842
East,Guwahati,Clothing,Women's Wear,4,28128,20,90009.6,UPI,2024,12,11.407682720154922
West,Mumbai,Sports,Football,4,60610,10,218196.0,Net Banking,2023,12,12.293153603432328
East,Guwahati,Beauty,Shampoo,2,29023,5,55143.7,UPI,2025,2,10.91771591852235
South,Thiruvananthapuram,Books,Textbook,4,23749,5,90246.2,Credit Card,2025,6,11.410307850783097
West,Goa,Groceries,Sugar,3,25340,10,68418.0,COD,2023,10,11.133405842815316
East,Ranchi,Books,Comics,3,71008,20,170419.2,Credit Card,2025,1,12.046022430952435
